鄉鎮市,年齡層,性別,人口數
金峰鄉,15-19歲,男,-97
金峰鄉,20-24歲,男,-136
金峰鄉,25-29歲,男,-158
金峰鄉,30-34歲,男,-146
金峰鄉,35-39歲,男,-128
金峰鄉,40-44歲,男,-131
金峰鄉,45-49歲,男,-123
金峰鄉,50-54歲,男,-137
金峰鄉,55-59歲,男,-134
金峰鄉,60-64歲,男,-159
金峰鄉,65-69歲,男,-117
金峰鄉,70-74歲,男,-65
金峰鄉,75-79歲,男,-31
金峰鄉,80-84歲,男,-13
金峰鄉,85-89歲,男,-9
金峰鄉,90歲以上,男,-9
金峰鄉,0-4歲,女,76
金峰鄉,5-9歲,女,81
金峰鄉,10-14歲,女,86
金峰鄉,15-19歲,女,87
金峰鄉,20-24歲,女,129
金峰鄉,25-29歲,女,138
金峰鄉,30-34歲,女,154
金峰鄉,35-39歲,女,113
金峰鄉,40-44歲,女,131
金峰鄉,45-49歲,女,132
金峰鄉,50-54歲,女,120
金峰鄉,55-59歲,女,143
金峰鄉,60-64歲,女,145
金峰鄉,65-69歲,女,140
金峰鄉,70-74歲,女,69
金峰鄉,75-79歲,女,37
金峰鄉,80-84歲,女,17
金峰鄉,85-89歲,女,16
金峰鄉,90歲以上,女,16
長濱鄉,0-4歲,男,-63
長濱鄉,5-9歲,男,-62
長濱鄉,10-14歲,男,-72
長濱鄉,15-19歲,男,-113
長濱鄉,20-24歲,男,-139
長濱鄉,25-29歲,男,-176
長濱鄉,30-34歲,男,-189
長濱鄉,35-39歲,男,-175
長濱鄉,40-44歲,男,-241
長濱鄉,45-49歲,男,-314
長濱鄉,50-54歲,男,-328
長濱鄉,55-59歲,男,-407
長濱鄉,60-64歲,男,-442
長濱鄉,65-69歲,男,-292
長濱鄉,70-74歲,男,-218
長濱鄉,75-79歲,男,-134
長濱鄉,80-84歲,男,-113
長濱鄉,85-89歲,男,-55
長濱鄉,90歲以上,男,-34
長濱鄉,0-4歲,女,63
長濱鄉,5-9歲,女,58
長濱鄉,10-14歲,女,66
長濱鄉,15-19歲,女,87
長濱鄉,20-24歲,女,123
長濱鄉,25-29歲,女,142
長濱鄉,30-34歲,女,143
長濱鄉,35-39歲,女,113
長濱鄉,40-44歲,女,151
長濱鄉,45-49歲,女,203
長濱鄉,50-54歲,女,225
長濱鄉,55-59歲,女,241
長濱鄉,60-64歲,女,270
長濱鄉,65-69歲,女,269
長濱鄉,70-74歲,女,244
